Method,Model,Precision,Negative Predictive Value,Recall,Specificity,Accuracy,F1 Score,Balanced Accuracy,ROC AUC
ROS,lr,0.6733,0.6727,0.6722,0.6737,0.673,0.6727,0.673,0.7428
ROS,knn,0.6244,0.6803,0.739,0.5554,0.6472,0.6769,0.6472,0.7145
ROS,svcrbf,0.5671,0.6004,0.6798,0.481,0.5804,0.6184,0.5804,0.6327
ROS,rf,0.8401,0.8782,0.8847,0.8316,0.8581,0.8618,0.8581,0.9398
ROS,xgb,0.7816,0.8475,0.8634,0.7587,0.8111,0.8205,0.8111,0.8836
ROS,lgbm,0.751,0.8126,0.8331,0.7238,0.7785,0.7899,0.7785,0.8502
ROS,catboost,0.7374,0.7993,0.8225,0.7071,0.7648,0.7776,0.7648,0.8477
ROS,mlp,0.5698,0.7774,0.9105,0.3126,0.6115,0.7009,0.6115,0.7169
SMOTE,lr,0.7299,0.7299,0.7299,0.7299,0.7299,0.7299,0.7299,0.8036
SMOTE,knn,0.6453,0.7579,0.8255,0.5463,0.6859,0.7244,0.6859,0.7794
SMOTE,svcrbf,0.5831,0.6084,0.6601,0.5281,0.5941,0.6192,0.5941,0.6507
SMOTE,rf,0.8223,0.7854,0.7724,0.8331,0.8027,0.7966,0.8027,0.8968
SMOTE,xgb,0.7909,0.7918,0.7921,0.7906,0.7914,0.7915,0.7914,0.8769
SMOTE,lgbm,0.8003,0.7887,0.7845,0.8042,0.7944,0.7923,0.7944,0.8833
SMOTE,catboost,0.8233,0.7846,0.7709,0.8346,0.8027,0.7962,0.8027,0.8838
SMOTE,mlp,0.8022,0.7104,0.6586,0.8376,0.7481,0.7233,0.7481,0.8323
ADASYN,lr,0.7547,0.7179,0.7067,0.7648,0.7354,0.7299,0.7357,0.8173
ADASYN,knn,0.6433,0.7757,0.8548,0.5144,0.6867,0.7341,0.6846,0.756
ADASYN,svcrbf,0.5597,0.5847,0.6948,0.4401,0.569,0.62,0.5674,0.6258
ADASYN,rf,0.832,0.8029,0.8,0.8346,0.8171,0.8157,0.8173,0.8983
ADASYN,xgb,0.8015,0.7749,0.7719,0.8042,0.7879,0.7864,0.7881,0.8739
ADASYN,lgbm,0.8238,0.7933,0.7896,0.827,0.8081,0.8064,0.8083,0.8862
ADASYN,catboost,0.8234,0.7722,0.76,0.8331,0.7961,0.7904,0.7965,0.8862
ADASYN,mlp,0.6801,0.7709,0.8252,0.6024,0.7151,0.7456,0.7138,0.83
RUS,lr,0.6336,0.6345,0.6357,0.6323,0.634,0.6346,0.634,0.6898
RUS,knn,0.561,0.5593,0.5533,0.567,0.5601,0.5571,0.5601,0.5938
RUS,svcrbf,0.5709,0.57,0.567,0.5739,0.5704,0.569,0.5704,0.5799
RUS,rf,0.6361,0.6498,0.6667,0.6186,0.6426,0.651,0.6426,0.684
RUS,xgb,0.65,0.6391,0.6254,0.6632,0.6443,0.6375,0.6443,0.6826
RUS,lgbm,0.6382,0.6401,0.6426,0.6357,0.6392,0.6404,0.6392,0.6866
RUS,catboost,0.67,0.6772,0.6838,0.6632,0.6735,0.6769,0.6735,0.7036
RUS,mlp,0.6308,0.6205,0.6048,0.646,0.6254,0.6175,0.6254,0.6609
None,lr,0.4988,0.8404,0.7045,0.6874,0.6926,0.584,0.6959,0.7669
None,knn,0.4439,0.7294,0.299,0.8346,0.6705,0.3573,0.5668,0.6252
None,svcrbf,0.3752,0.7706,0.646,0.525,0.5621,0.4747,0.5855,0.6408
None,rf,0.5954,0.7399,0.268,0.9196,0.72,0.3697,0.5938,0.725
None,xgb,0.543,0.7654,0.4124,0.8467,0.7137,0.4688,0.6296,0.7255
None,lgbm,0.4986,0.8158,0.6323,0.7193,0.6926,0.5576,0.6758,0.7379
None,catboost,0.6235,0.7589,0.3471,0.9074,0.7358,0.4459,0.6273,0.7499
None,mlp,0.7067,0.728,0.1821,0.9666,0.7263,0.2896,0.5744,0.7352
