Method,Model,Precision,Negative Predictive Value,Recall,Specificity,Accuracy,F1 Score,Balanced Accuracy,ROC AUC
ROS,lr,0.4917,0.8425,0.7148,0.6737,0.6863,0.5826,0.6943,0.764
ROS,knn,0.3891,0.7657,0.5911,0.5903,0.5905,0.4693,0.5907,0.6212
ROS,svcrbf,0.3826,0.781,0.6667,0.525,0.5684,0.4862,0.5959,0.6593
ROS,rf,0.5614,0.7742,0.4399,0.8483,0.7232,0.4933,0.6441,0.7366
ROS,xgb,0.4771,0.7748,0.5017,0.7572,0.6789,0.4891,0.6295,0.7024
ROS,lgbm,0.5057,0.811,0.6117,0.736,0.6979,0.5537,0.6738,0.7353
ROS,catboost,0.4986,0.8074,0.6048,0.7314,0.6926,0.5466,0.6681,0.7408
ROS,mlp,0.5427,0.7991,0.5464,0.7967,0.72,0.5445,0.6715,0.74
SMOTE,lr,0.5127,0.8399,0.6942,0.7086,0.7042,0.5898,0.7014,0.7522
SMOTE,knn,0.3763,0.7608,0.6014,0.5599,0.5726,0.463,0.5807,0.6092
SMOTE,svcrbf,0.3737,0.7646,0.6254,0.5372,0.5642,0.4679,0.5813,0.6579
SMOTE,rf,0.5337,0.7574,0.3814,0.8528,0.7084,0.4449,0.6171,0.7117
SMOTE,xgb,0.5317,0.7751,0.4605,0.8209,0.7105,0.4936,0.6407,0.721
SMOTE,lgbm,0.5387,0.7865,0.5017,0.8103,0.7158,0.5196,0.656,0.7376
SMOTE,catboost,0.5633,0.783,0.4742,0.8376,0.7263,0.5149,0.6559,0.7345
SMOTE,mlp,0.632,0.743,0.2715,0.9302,0.7284,0.3798,0.6008,0.74
ADASYN,lr,0.5,0.8297,0.6735,0.7026,0.6937,0.5739,0.6881,0.7517
ADASYN,knn,0.3837,0.7761,0.646,0.5417,0.5737,0.4814,0.5939,0.6084
ADASYN,svcrbf,0.3743,0.7762,0.6701,0.5053,0.5558,0.4803,0.5877,0.6536
ADASYN,rf,0.5514,0.7649,0.4055,0.8543,0.7168,0.4673,0.6299,0.7074
ADASYN,xgb,0.4961,0.7645,0.4399,0.8027,0.6916,0.4663,0.6213,0.7044
ADASYN,lgbm,0.5415,0.7791,0.4708,0.824,0.7158,0.5037,0.6474,0.7304
ADASYN,catboost,0.5708,0.7831,0.4708,0.8437,0.7295,0.516,0.6572,0.7384
ADASYN,mlp,0.4599,0.8384,0.7285,0.6222,0.6547,0.5638,0.6753,0.7479
RUS,lr,0.5024,0.8464,0.7182,0.6859,0.6958,0.5912,0.7021,0.764
RUS,knn,0.3819,0.7626,0.5945,0.5751,0.5811,0.4651,0.5848,0.6074
RUS,svcrbf,0.3656,0.7644,0.6495,0.5023,0.5474,0.4678,0.5759,0.6265
RUS,rf,0.4686,0.8373,0.7182,0.6404,0.6642,0.5672,0.6793,0.7165
RUS,xgb,0.4401,0.8062,0.6564,0.6313,0.6389,0.5269,0.6438,0.7021
RUS,lgbm,0.4552,0.8254,0.6976,0.6313,0.6516,0.5509,0.6644,0.7245
RUS,catboost,0.4733,0.8324,0.701,0.6555,0.6695,0.5651,0.6783,0.7499
RUS,mlp,0.3341,0.8843,0.9519,0.1624,0.4042,0.4946,0.5571,0.663
None,lr,0.4988,0.8404,0.7045,0.6874,0.6926,0.584,0.6959,0.7669
None,knn,0.4439,0.7294,0.299,0.8346,0.6705,0.3573,0.5668,0.6252
None,svcrbf,0.3752,0.7706,0.646,0.525,0.5621,0.4747,0.5855,0.6408
None,rf,0.5954,0.7399,0.268,0.9196,0.72,0.3697,0.5938,0.725
None,xgb,0.543,0.7654,0.4124,0.8467,0.7137,0.4688,0.6296,0.7255
None,lgbm,0.4986,0.8158,0.6323,0.7193,0.6926,0.5576,0.6758,0.7379
None,catboost,0.6235,0.7589,0.3471,0.9074,0.7358,0.4459,0.6273,0.7499
None,mlp,0.7067,0.728,0.1821,0.9666,0.7263,0.2896,0.5744,0.7352
