Method,Model,Precision,Negative Predictive Value,Recall,Specificity,Accuracy,F1 Score,Balanced Accuracy,ROC AUC
zscore,lr,0.4978,0.8223,0.6959,0.6672,0.6764,0.5804,0.6815,0.7585
zscore,knn,0.4826,0.7122,0.2602,0.8678,0.6724,0.3381,0.564,0.5965
zscore,svcrbf,0.4852,0.8083,0.6677,0.6642,0.6653,0.562,0.666,0.7374
zscore,rf,0.5882,0.7148,0.2194,0.9272,0.6996,0.3196,0.5733,0.7103
zscore,xgb,0.5714,0.7484,0.3887,0.8618,0.7097,0.4627,0.6253,0.7122
zscore,lgbm,0.5186,0.7987,0.6113,0.7311,0.6925,0.5612,0.6712,0.7313
zscore,catboost,0.625,0.7439,0.3448,0.9019,0.7228,0.4444,0.6234,0.7346
zscore,mlp,0.6143,0.757,0.4044,0.8796,0.7268,0.4877,0.642,0.7408
minmax,lr,0.4978,0.8259,0.7053,0.6627,0.6764,0.5837,0.684,0.7503
minmax,knn,0.4663,0.7101,0.2602,0.8588,0.6663,0.334,0.5595,0.6058
minmax,svcrbf,0.4839,0.8058,0.6614,0.6657,0.6643,0.5589,0.6636,0.727
minmax,rf,0.5868,0.7153,0.2226,0.9257,0.6996,0.3227,0.5741,0.711
minmax,xgb,0.5694,0.7474,0.3856,0.8618,0.7087,0.4598,0.6237,0.7128
minmax,lgbm,0.5167,0.7896,0.5831,0.7415,0.6905,0.5479,0.6623,0.7301
minmax,catboost,0.625,0.7439,0.3448,0.9019,0.7228,0.4444,0.6234,0.7346
minmax,mlp,0.6044,0.742,0.3448,0.893,0.7167,0.4391,0.6189,0.7513
mean_normal,lr,0.4978,0.8259,0.7053,0.6627,0.6764,0.5837,0.684,0.7503
mean_normal,knn,0.4663,0.7101,0.2602,0.8588,0.6663,0.334,0.5595,0.6058
mean_normal,svcrbf,0.4773,0.8025,0.6583,0.6582,0.6583,0.5534,0.6583,0.7279
mean_normal,rf,0.5882,0.7148,0.2194,0.9272,0.6996,0.3196,0.5733,0.7081
mean_normal,xgb,0.5662,0.7477,0.3887,0.8588,0.7077,0.461,0.6238,0.7124
mean_normal,lgbm,0.5186,0.7987,0.6113,0.7311,0.6925,0.5612,0.6712,0.7313
mean_normal,catboost,0.625,0.7439,0.3448,0.9019,0.7228,0.4444,0.6234,0.7346
mean_normal,mlp,0.605,0.75,0.3793,0.8826,0.7208,0.4663,0.631,0.7426
power,lr,0.4933,0.8187,0.6897,0.6642,0.6724,0.5752,0.6769,0.7436
power,knn,0.4635,0.7125,0.279,0.847,0.6643,0.3483,0.563,0.6139
power,svcrbf,0.398,0.7545,0.6176,0.5572,0.5766,0.484,0.5874,0.6349
power,rf,0.5833,0.7144,0.2194,0.9257,0.6986,0.3189,0.5726,0.7097
power,xgb,0.5688,0.7481,0.3887,0.8603,0.7087,0.4618,0.6245,0.7126
power,lgbm,0.5027,0.789,0.5925,0.7221,0.6804,0.5439,0.6573,0.7213
power,catboost,0.625,0.7439,0.3448,0.9019,0.7228,0.4444,0.6234,0.7346
power,mlp,0.5784,0.7449,0.3699,0.8722,0.7107,0.4512,0.6211,0.7184
