Method,Dataset,ga,efw,bpd,hc,ac,fl,nf,cm,tcd,m_age,placenta_cat_Low_Lying,placenta_cat_Upper_Segment,baby_gender_BOY,baby_gender_GIRL
lr,entire,0.1775582694197945,0.005850189486943121,0.0005035854172447487,-0.037266101247606265,-0.08716745394869763,-0.15955136321164615,-0.21367060616108252,-0.09944627553378473,0.016190004668577677,-0.032551586427489,-0.05737888577642994,0.024880932165859092,-0.08825080136545568,0.055752847754953906
lr,train,0.18232725317892357,0.006118698359983323,9.345643222269948e-06,-0.03691300412527279,-0.08834347244004379,-0.15930793468905471,-0.2253272016430238,-0.12121242697217662,-0.006432529816831133,-0.033387509679895705,-0.044083523945892794,0.020776358896028503,-0.07917760763573295,0.05587044258586033
lr,test,0.16329307668299115,0.005258465917447774,-0.02094017836431538,-0.026301260886961206,-0.09225809190574585,-0.1645940102074907,-0.15632108893693314,-0.08073351455247958,0.10465262665544474,-0.029778549141203016,-0.07083312721883342,0.032658671717418174,-0.080632383161153,0.04245792765974038
rf,entire,0.12910014114494162,0.10460788666597312,0.09054757748245079,0.0952430395370729,0.11513338381120587,0.09158591988536056,0.09028225999952522,0.08927015319998137,0.08729909528728802,0.06928450126347332,0.00857670812941752,0.00911394019488904,0.010622430451766049,0.00933296294665447
rf,train,0.1287059487120485,0.10248061181881515,0.09153997018215927,0.0971931453666259,0.11425909564532694,0.09306604574253702,0.09009642816540135,0.08790503013733449,0.08458135598166251,0.07166328215995488,0.009199986538837947,0.00966607434813168,0.010140304103792347,0.00950272109737203
rf,test,0.1254465457954751,0.10649877798515407,0.09044190202032437,0.08997351265884156,0.10555188450904575,0.09594539308170433,0.08661820889401754,0.08820671322451859,0.0908750568042433,0.07171636781057256,0.011032041724501082,0.010828952163553944,0.012245778233514306,0.014618865094533364
lgbm,entire,472,261,261,253,378,337,295,257,244,170,13,9,39,11
lgbm,train,445,267,300,224,320,377,253,259,303,180,12,12,34,14
lgbm,test,410,236,319,309,344,325,244,299,248,188,11,8,41,18
catboost,entire,25.04201945918463,7.903275909937595,6.936592582273087,6.887408056787792,12.425099671845336,9.017662020589464,7.852219752199791,7.704551440340341,6.2742789119117495,5.651844832505697,0.8044330165269182,0.7195583934719395,1.4677861962237249,1.3132697562019457
catboost,train,24.616993077657977,8.08014832105505,6.572414124700228,7.018868296864789,12.581910199752713,8.285760388389305,8.012671671140657,7.0980574567819135,7.061826372525257,5.639871865633465,0.8600397917447048,0.9253610900197802,1.7574581671722391,1.4886191765619248
catboost,test,20.92851352147073,7.324559386102126,7.362981607080874,5.561030538002575,10.848515533529996,8.780409873524656,8.873397401133314,9.341763310418301,6.317183429935297,7.317763760079314,1.4784877027714567,1.5931332953293107,2.13972031867318,2.132540321948865
xgb,entire,0.1295795440673828,0.10687804967164993,0.06763879209756851,0.08064932376146317,0.10897994786500931,0.07242723554372787,0.07251889258623123,0.06437186896800995,0.06612994521856308,0.06227198988199234,0.06388521939516068,0.0,0.1046692281961441,0.0
xgb,train,0.13619473576545715,0.09931493550539017,0.06404401361942291,0.08308660984039307,0.09737194329500198,0.0696544423699379,0.07760777324438095,0.0715082511305809,0.07128077745437622,0.06204928830265999,0.07599599659442902,0.0,0.09189136326313019,0.0
xgb,test,0.1337943971157074,0.09048645943403244,0.07324223965406418,0.07470731437206268,0.0895271748304367,0.08247934281826019,0.07801953703165054,0.0784640908241272,0.07424600422382355,0.06826885044574738,0.07215521484613419,0.0,0.08460936695337296,0.0
