Method,Model,Precision,Negative Predictive Value,Recall,Specificity,Accuracy,F1 Score,Balanced Accuracy,ROC AUC
1_entire,lr,0.3747,0.7305,0.5768,0.5438,0.5544,0.4543,0.5603,0.5865
1_train,lr,0.3747,0.7305,0.5768,0.5438,0.5544,0.4543,0.5603,0.5865
2_entire,lr,0.3767,0.7361,0.5987,0.5305,0.5524,0.4625,0.5646,0.5937
2_train,lr,0.3767,0.7361,0.5987,0.5305,0.5524,0.4625,0.5646,0.5937
3_entire,lr,0.4567,0.8015,0.6771,0.6181,0.6371,0.5455,0.6476,0.6964
3_train,lr,0.4567,0.8015,0.6771,0.6181,0.6371,0.5455,0.6476,0.6964
4_entire,lr,0.4712,0.8126,0.6928,0.6315,0.6512,0.5609,0.6621,0.7056
4_train,lr,0.4712,0.8126,0.6928,0.6315,0.6512,0.5609,0.6621,0.7056
5_entire,lr,0.4571,0.7933,0.652,0.633,0.6391,0.5375,0.6425,0.7088
5_train,lr,0.5,0.8183,0.6834,0.6761,0.6784,0.5775,0.6797,0.7546
6_entire,lr,0.4944,0.819,0.6897,0.6657,0.6734,0.5759,0.6777,0.7476
6_train,lr,0.4955,0.817,0.6834,0.6701,0.6744,0.5744,0.6768,0.7475
7_entire,lr,0.5,0.8161,0.6771,0.679,0.6784,0.5752,0.6781,0.7479
7_train,lr,0.5034,0.8205,0.6865,0.679,0.6815,0.5809,0.6828,0.7523
1_entire,svcrbf,0.3939,0.7324,0.5235,0.6181,0.5877,0.4495,0.5708,0.5815
1_train,svcrbf,0.3939,0.7324,0.5235,0.6181,0.5877,0.4495,0.5708,0.5815
2_entire,svcrbf,0.3956,0.731,0.511,0.63,0.5917,0.446,0.5705,0.5835
2_train,svcrbf,0.3956,0.731,0.511,0.63,0.5917,0.446,0.5705,0.5835
3_entire,svcrbf,0.2857,0.6782,0.0063,0.9926,0.6754,0.0123,0.4994,0.4361
3_train,svcrbf,0.2857,0.6782,0.0063,0.9926,0.6754,0.0123,0.4994,0.4361
4_entire,svcrbf,1.0,0.6798,0.0063,1.0,0.6804,0.0125,0.5031,0.4117
4_train,svcrbf,1.0,0.6798,0.0063,1.0,0.6804,0.0125,0.5031,0.4117
5_entire,svcrbf,0.0,0.6784,0.0,1.0,0.6784,0.0,0.5,0.4074
5_train,svcrbf,0.0,0.6784,0.0,1.0,0.6784,0.0,0.5,0.4074
6_entire,svcrbf,0.4872,0.8046,0.6552,0.6731,0.6673,0.5588,0.6641,0.6994
6_train,svcrbf,0.4872,0.8046,0.6552,0.6731,0.6673,0.5588,0.6641,0.6994
7_entire,svcrbf,0.4739,0.8207,0.7116,0.6256,0.6532,0.5689,0.6686,0.7388
7_train,svcrbf,0.4739,0.8207,0.7116,0.6256,0.6532,0.5689,0.6686,0.7388
1_entire,lgbm,0.3484,0.7044,0.5329,0.5275,0.5292,0.4213,0.5302,0.5276
1_train,lgbm,0.3484,0.7044,0.5329,0.5275,0.5292,0.4213,0.5302,0.5276
2_entire,lgbm,0.468,0.7799,0.5956,0.679,0.6522,0.5241,0.6373,0.7006
2_train,lgbm,0.4038,0.7534,0.5987,0.581,0.5867,0.4823,0.5899,0.6448
3_entire,lgbm,0.4915,0.7986,0.6332,0.6895,0.6714,0.5534,0.6613,0.72
3_train,lgbm,0.4915,0.7986,0.6332,0.6895,0.6714,0.5534,0.6613,0.72
4_entire,lgbm,0.5123,0.8116,0.6552,0.7043,0.6885,0.575,0.6797,0.7366
4_train,lgbm,0.4938,0.7973,0.627,0.6954,0.6734,0.5525,0.6612,0.7146
5_entire,lgbm,0.4937,0.7933,0.6144,0.7013,0.6734,0.5475,0.6579,0.7268
5_train,lgbm,0.4821,0.7833,0.5925,0.6984,0.6643,0.5316,0.6454,0.7161
6_entire,lgbm,0.4777,0.7857,0.605,0.6865,0.6603,0.5339,0.6457,0.7234
6_train,lgbm,0.4857,0.7825,0.5862,0.7058,0.6673,0.5312,0.646,0.7076
7_entire,lgbm,0.5052,0.7954,0.6113,0.7162,0.6825,0.5532,0.6637,0.7339
7_train,lgbm,0.5013,0.7896,0.5956,0.7192,0.6794,0.5444,0.6574,0.7171
1_entire,catboost,0.1667,0.6775,0.0031,0.9926,0.6744,0.0062,0.4979,0.5246
1_train,catboost,0.1667,0.6775,0.0031,0.9926,0.6744,0.0062,0.4979,0.5246
2_entire,catboost,0.6402,0.7415,0.3292,0.9123,0.7248,0.4348,0.6207,0.7208
2_train,catboost,0.6402,0.7415,0.3292,0.9123,0.7248,0.4348,0.6207,0.7208
3_entire,catboost,0.6279,0.7427,0.3386,0.9049,0.7228,0.4399,0.6217,0.7438
3_train,catboost,0.6279,0.7427,0.3386,0.9049,0.7228,0.4399,0.6217,0.7438
4_entire,catboost,0.6188,0.7356,0.3103,0.9094,0.7167,0.4134,0.6099,0.7435
4_train,catboost,0.6188,0.7356,0.3103,0.9094,0.7167,0.4134,0.6099,0.7435
5_entire,catboost,0.6067,0.7408,0.3386,0.896,0.7167,0.4346,0.6173,0.7415
5_train,catboost,0.6067,0.7408,0.3386,0.896,0.7167,0.4346,0.6173,0.7415
6_entire,catboost,0.6409,0.7497,0.3636,0.9034,0.7298,0.464,0.6335,0.7468
6_train,catboost,0.6409,0.7497,0.3636,0.9034,0.7298,0.464,0.6335,0.7468
7_entire,catboost,0.6271,0.7448,0.348,0.9019,0.7238,0.4476,0.6249,0.7448
7_train,catboost,0.6129,0.7457,0.3574,0.893,0.7208,0.4515,0.6252,0.7382
1_entire,xgb,0.1111,0.6765,0.0031,0.9881,0.6714,0.0061,0.4956,0.5167
1_train,xgb,0.1111,0.6765,0.0031,0.9881,0.6714,0.0061,0.4956,0.5167
2_entire,xgb,0.5522,0.737,0.348,0.8663,0.6996,0.4269,0.6071,0.6992
2_train,xgb,0.545,0.731,0.3229,0.8722,0.6956,0.4055,0.5975,0.7026
3_entire,xgb,0.5238,0.7327,0.3448,0.8514,0.6885,0.4159,0.5981,0.6922
3_train,xgb,0.5442,0.74,0.3668,0.8544,0.6976,0.4382,0.6106,0.6942
4_entire,xgb,0.5539,0.7386,0.3542,0.8648,0.7006,0.4321,0.6095,0.7076
4_train,xgb,0.5539,0.7386,0.3542,0.8648,0.7006,0.4321,0.6095,0.7076
5_entire,xgb,0.5616,0.7464,0.3856,0.8574,0.7056,0.4572,0.6215,0.7116
5_train,xgb,0.5591,0.7461,0.3856,0.8559,0.7046,0.4564,0.6207,0.7116
6_entire,xgb,0.5417,0.7487,0.4075,0.8366,0.6986,0.4651,0.622,0.7124
6_train,xgb,0.5397,0.7477,0.4044,0.8366,0.6976,0.4624,0.6205,0.7119
7_entire,xgb,0.547,0.748,0.4013,0.8425,0.7006,0.4629,0.6219,0.72
7_train,xgb,0.5507,0.7464,0.3918,0.8484,0.7016,0.4579,0.6201,0.7131
