Method,Model,Precision,Negative Predictive Value,Recall,Specificity,Accuracy,F1 Score,Balanced Accuracy,ROC AUC
0,lr,0.4933,0.8187,0.6897,0.6642,0.6724,0.5752,0.6769,0.7436
0,knn,0.4635,0.7125,0.279,0.847,0.6643,0.3483,0.563,0.6139
0,svcrbf,0.398,0.7545,0.6176,0.5572,0.5766,0.484,0.5874,0.6349
0,rf,0.5833,0.7144,0.2194,0.9257,0.6986,0.3189,0.5726,0.7097
0,xgb,0.5688,0.7481,0.3887,0.8603,0.7087,0.4618,0.6245,0.7126
0,lgbm,0.5027,0.789,0.5925,0.7221,0.6804,0.5439,0.6573,0.7213
0,catboost,0.625,0.7439,0.3448,0.9019,0.7228,0.4444,0.6234,0.7346
0,mlp,0.5784,0.7449,0.3699,0.8722,0.7107,0.4512,0.6211,0.7184
10,lr,0.4943,0.8156,0.6803,0.6701,0.6734,0.5726,0.6752,0.7438
10,knn,0.4873,0.7195,0.3009,0.8499,0.6734,0.3721,0.5754,0.638
10,svcrbf,0.4,0.7565,0.6207,0.5587,0.5786,0.4865,0.5897,0.6366
10,rf,0.6923,0.7343,0.2821,0.9406,0.7288,0.4009,0.6113,0.7644
10,xgb,0.6018,0.7588,0.4169,0.8692,0.7238,0.4926,0.6431,0.7352
10,lgbm,0.5195,0.804,0.627,0.7251,0.6935,0.5682,0.676,0.7496
10,catboost,0.6416,0.746,0.348,0.9079,0.7278,0.4512,0.6279,0.7587
10,mlp,0.7273,0.683,0.0251,0.9955,0.6835,0.0485,0.5103,0.6801
20,lr,0.4909,0.8134,0.6771,0.6672,0.6704,0.5692,0.6721,0.7437
20,knn,0.5178,0.727,0.3197,0.8588,0.6855,0.3953,0.5893,0.6643
20,svcrbf,0.4008,0.757,0.6207,0.5602,0.5796,0.4871,0.5904,0.638
20,rf,0.7622,0.7657,0.3918,0.9421,0.7651,0.5176,0.667,0.8204
20,xgb,0.6709,0.7881,0.4984,0.8841,0.7601,0.5719,0.6913,0.7879
20,lgbm,0.5607,0.8314,0.6803,0.7474,0.7258,0.6147,0.7138,0.7796
20,catboost,0.6798,0.7568,0.3793,0.9153,0.7429,0.4869,0.6473,0.7832
20,mlp,0.5188,0.7611,0.4765,0.7905,0.6895,0.4967,0.6335,0.7213
30,lr,0.4943,0.8144,0.6771,0.6716,0.6734,0.5714,0.6744,0.7442
30,knn,0.54,0.7336,0.3386,0.8633,0.6946,0.4162,0.6009,0.6818
30,svcrbf,0.4012,0.7581,0.6238,0.5587,0.5796,0.4883,0.5913,0.6393
30,rf,0.8588,0.7895,0.4577,0.9643,0.8014,0.5971,0.711,0.8539
30,xgb,0.7261,0.8083,0.5486,0.9019,0.7883,0.625,0.7253,0.8266
30,lgbm,0.5915,0.8439,0.6991,0.7712,0.748,0.6408,0.7351,0.8074
30,catboost,0.7386,0.7684,0.4075,0.9316,0.7631,0.5253,0.6696,0.805
30,mlp,0.6439,0.7279,0.2665,0.9302,0.7167,0.3769,0.5983,0.7307
40,lr,0.4885,0.8094,0.6677,0.6686,0.6683,0.5642,0.6682,0.744
40,knn,0.5583,0.7405,0.3605,0.8648,0.7026,0.4381,0.6126,0.7017
40,svcrbf,0.402,0.7586,0.6238,0.5602,0.5806,0.4889,0.592,0.6405
40,rf,0.8615,0.8105,0.5266,0.9599,0.8206,0.6537,0.7433,0.8858
40,xgb,0.7623,0.8222,0.5831,0.9138,0.8075,0.6607,0.7484,0.844
40,lgbm,0.6136,0.8621,0.7367,0.7801,0.7661,0.6695,0.7584,0.8343
40,catboost,0.7676,0.7807,0.4451,0.9361,0.7782,0.5635,0.6906,0.8249
40,mlp,0.7241,0.7034,0.1317,0.9762,0.7046,0.2228,0.5539,0.7394
50,lr,0.4932,0.8141,0.6771,0.6701,0.6724,0.5707,0.6736,0.744
50,knn,0.5693,0.7418,0.3605,0.8707,0.7067,0.4415,0.6156,0.7129
50,svcrbf,0.4012,0.7581,0.6238,0.5587,0.5796,0.4883,0.5913,0.6419
50,rf,0.9005,0.8444,0.6238,0.9673,0.8569,0.737,0.7956,0.9145
50,xgb,0.8,0.8396,0.627,0.9257,0.8296,0.703,0.7763,0.8647
50,lgbm,0.6371,0.8768,0.7649,0.7935,0.7843,0.6952,0.7792,0.8488
50,catboost,0.7933,0.7823,0.4451,0.945,0.7843,0.5703,0.6951,0.8403
50,mlp,0.6351,0.7037,0.1473,0.9599,0.6986,0.2392,0.5536,0.7082
60,lr,0.4921,0.816,0.6834,0.6657,0.6714,0.5722,0.6745,0.7443
60,knn,0.6077,0.7548,0.3981,0.8782,0.7238,0.4811,0.6381,0.7343
60,svcrbf,0.402,0.7586,0.6238,0.5602,0.5806,0.4889,0.592,0.6427
