Method,Model,Precision,Negative Predictive Value,Recall,Specificity,Accuracy,F1 Score,Balanced Accuracy,ROC AUC
birth_weight&ga,lr,0.4978,0.8223,0.6959,0.6672,0.6764,0.5804,0.6815,0.7585
birth_weight&ga,knn,0.477,0.7115,0.2602,0.8648,0.6704,0.3367,0.5625,0.5951
birth_weight&ga,svcrbf,0.4852,0.8083,0.6677,0.6642,0.6653,0.562,0.666,0.7373
birth_weight&ga,rf,0.6033,0.7176,0.2288,0.9287,0.7036,0.3318,0.5788,0.7096
birth_weight&ga,xgb,0.5694,0.7474,0.3856,0.8618,0.7087,0.4598,0.6237,0.7126
birth_weight&ga,lgbm,0.4986,0.7797,0.5643,0.7311,0.6774,0.5294,0.6477,0.7294
birth_weight&ga,catboost,0.625,0.7439,0.3448,0.9019,0.7228,0.4444,0.6234,0.7346
birth_weight&ga,mlp,0.6132,0.7577,0.4075,0.8782,0.7268,0.4896,0.6428,0.741
birth_weight,lr,0.4978,0.8223,0.6959,0.6672,0.6764,0.5804,0.6815,0.7585
birth_weight,knn,0.477,0.7115,0.2602,0.8648,0.6704,0.3367,0.5625,0.5951
birth_weight,svcrbf,0.4852,0.8083,0.6677,0.6642,0.6653,0.562,0.666,0.7373
birth_weight,rf,0.6033,0.7176,0.2288,0.9287,0.7036,0.3318,0.5788,0.7096
birth_weight,xgb,0.5694,0.7474,0.3856,0.8618,0.7087,0.4598,0.6237,0.7126
birth_weight,lgbm,0.4986,0.7797,0.5643,0.7311,0.6774,0.5294,0.6477,0.7294
birth_weight,catboost,0.625,0.7439,0.3448,0.9019,0.7228,0.4444,0.6234,0.7346
birth_weight,mlp,0.6132,0.7577,0.4075,0.8782,0.7268,0.4896,0.6428,0.741
birth_ga,lr,0.7401,0.935,0.8746,0.8544,0.8609,0.8017,0.8645,0.9434
birth_ga,knn,0.7812,0.8665,0.7053,0.9064,0.8417,0.7414,0.8059,0.9002
birth_ga,svcrbf,0.7355,0.9546,0.9154,0.844,0.8669,0.8156,0.8797,0.9499
birth_ga,rf,0.7974,0.8957,0.7774,0.9064,0.8649,0.7873,0.8419,0.9473
birth_ga,xgb,0.7781,0.905,0.8025,0.8915,0.8629,0.7901,0.847,0.942
birth_ga,lgbm,0.756,0.9447,0.8934,0.8633,0.873,0.819,0.8784,0.9453
birth_ga,catboost,0.7844,0.9134,0.8213,0.893,0.87,0.8025,0.8572,0.9501
birth_ga,mlp,0.7829,0.9053,0.8025,0.8945,0.8649,0.7926,0.8485,0.9487
None,lr,0.9464,0.9985,0.9969,0.9733,0.9808,0.971,0.9851,0.9992
None,knn,0.8447,0.8681,0.6991,0.9391,0.8619,0.765,0.8191,0.931
None,svcrbf,0.9034,0.9984,0.9969,0.9495,0.9647,0.9478,0.9732,0.9974
None,rf,0.953,0.9777,0.953,0.9777,0.9698,0.953,0.9653,0.9954
None,xgb,0.975,0.9896,0.9781,0.9881,0.9849,0.9765,0.9831,0.9993
None,lgbm,0.972,0.991,0.9812,0.9866,0.9849,0.9766,0.9839,0.9994
None,catboost,0.9746,0.9823,0.9624,0.9881,0.9798,0.9685,0.9752,0.999
None,mlp,0.9845,0.997,0.9937,0.9926,0.9929,0.9891,0.9932,0.9998
