Method,Model,Precision,Negative Predictive Value,Recall,Specificity,Accuracy,F1 Score,Balanced Accuracy,ROC AUC
sgkf,lr,0.4933,0.8187,0.6897,0.6642,0.6724,0.5752,0.6769,0.7436
sgkf,knn,0.4635,0.7125,0.279,0.847,0.6643,0.3483,0.563,0.6139
sgkf,svcrbf,0.398,0.7545,0.6176,0.5572,0.5766,0.484,0.5874,0.6349
sgkf,rf,0.5833,0.7144,0.2194,0.9257,0.6986,0.3189,0.5726,0.7097
sgkf,xgb,0.5688,0.7481,0.3887,0.8603,0.7087,0.4618,0.6245,0.7126
sgkf,lgbm,0.5027,0.789,0.5925,0.7221,0.6804,0.5439,0.6573,0.7213
sgkf,catboost,0.625,0.7439,0.3448,0.9019,0.7228,0.4444,0.6234,0.7346
sgkf,mlp,0.5784,0.7449,0.3699,0.8722,0.7107,0.4512,0.6211,0.7184
skf,lr,0.4691,0.8223,0.6743,0.6638,0.667,0.5533,0.6691,0.7332
skf,knn,0.445,0.7332,0.3191,0.8246,0.67,0.3716,0.5719,0.6211
skf,svcrbf,0.3508,0.7427,0.5954,0.5145,0.5392,0.4415,0.5549,0.6043
skf,rf,0.6102,0.7352,0.2368,0.9333,0.7203,0.3412,0.5851,0.7186
skf,xgb,0.5046,0.75,0.3618,0.8435,0.6962,0.4215,0.6027,0.7124
skf,lgbm,0.4901,0.7956,0.5691,0.7391,0.6871,0.5266,0.6541,0.716
skf,catboost,0.625,0.7554,0.3289,0.913,0.7344,0.431,0.621,0.7445
skf,mlp,0.6585,0.7093,0.0888,0.9797,0.7072,0.1565,0.5343,0.6883
